,Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Status,Latitude,Longitude
26681,65043,Madison Energy Investments LLC,68220,North Kern 2,CA,Kern,CISO,IPP Non-CHP,NK2PV,2.5,2.5,2.5,Solar Photovoltaic,(OP) Operating,35.4678,-119.1536
26682,65043,Madison Energy Investments LLC,68221,North Kern 1,CA,Kern,CISO,IPP Non-CHP,NK1PV,2.5,2.5,2.5,Solar Photovoltaic,(OP) Operating,35.4691,-119.169
26688,60520,SoCore Energy LLC,68265,South County Detention Center Solar,CA,Tulare,CISO,IPP Non-CHP,PV1,1.1,1.1,1.1,Solar Photovoltaic,(OP) Operating,36.039,-119.061
26690,60520,SoCore Energy LLC,68266,North Juvenile Detention Center Solar,CA,Tulare,CISO,IPP Non-CHP,PV1,1.1,1.1,1.1,Solar Photovoltaic,(OP) Operating,36.461,-119.32
26691,60520,SoCore Energy LLC,68267,Government Plaza Solar,CA,Tulare,CISO,IPP Non-CHP,PV1,1.1,1.1,1.1,Solar Photovoltaic,(OP) Operating,36.278,-119.317
26692,60520,SoCore Energy LLC,68268,Tulare Akers Professional Center,CA,Tulare,CISO,IPP Non-CHP,PV1,1,1,1,Solar Photovoltaic,(OP) Operating,36.322,-119.351
26693,60520,SoCore Energy LLC,68269,Bob Wiley Detention Center,CA,Tulare,CISO,IPP Non-CHP,PV1,1.8,1.8,1.8,Solar Photovoltaic,(OP) Operating,36.454,-119.312
26694,60520,SoCore Energy LLC,68270,Civic Center East,CA,Tulare,CISO,IPP Non-CHP,PV1,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,36.33,-119.317
26741,65043,Madison Energy Investments LLC,68395,Wheeler Ridge 2,CA,Kern,CISO,IPP Non-CHP,WR2PV,5,5,5,Solar Photovoltaic,(OP) Operating,34.9846,-118.9085
26753,61980,Valta Energy,68409,"VS RXI Mason-Chatsworth, LLC",CA,Los Angeles,LDWP,IPP Non-CHP,VSPRC,1.8,1.8,1.8,Solar Photovoltaic,(OP) Operating,34.235,-118.579
26765,66794,Sutter Santa Rosa Solar LLC,68440,Sutter Santa Rosa Solar,CA,Sonoma,CISO,IPP Non-CHP,693,1.3,1.3,1.3,Solar Photovoltaic,(OP) Operating,38.494525,-122.752
26781,64698,"Renewable Solar, Inc",68471,Open Sky Dairy,CA,Fresno,CISO,Industrial Non-CHP,18880,1.7,1.7,1.7,Solar Photovoltaic,(OP) Operating,36.459935,-120.0298
26790,66897,Barrier Solar Inc,68521,JD Foods - JD Foods,CA,Fresno,CISO,Commercial Non-CHP,JDF,1.5,1.5,1.5,Solar Photovoltaic,(OP) Operating,36.70185,-119.7459
26791,65539,Pivot Energy,68532,Pivot Energy PPA 22,CA,Tulare,CISO,IPP Non-CHP,PPA22,1.3,1.3,1.3,Solar Photovoltaic,(OP) Operating,36.347335,-119.3957
26792,65949,Bravo REC Management LLC,68533,Blue Moon Farms,CA,Tulare,CISO,Industrial Non-CHP,BMOON,1,0.9,0.7,Solar Photovoltaic,(OP) Operating,36.028854,-119.4015
26794,66922,Pacifico Power,68547,Tipton 1 - (CA),CA,Tulare,CISO,IPP Non-CHP,TIP1S,4.2,4.2,4.2,Solar Photovoltaic,(OP) Operating,36.050157,-119.3147
26796,66922,Pacifico Power,68548,Tipton 2 - (CA),CA,Tulare,CISO,IPP Non-CHP,TIP2S,2.1,2.1,2.1,Solar Photovoltaic,(OP) Operating,36.050157,-119.3147
26798,66953,United Parcel Service,68575,Visalia Solar,CA,Tulare,CISO,Commercial Non-CHP,UPSV1,2.5,2.5,2.5,Solar Photovoltaic,(OP) Operating,36.36139,-119.3926
